"","author.and.song.duration","tempo.bpm.","rms.dB.","sampling.frequency.kHz.","sampling.rate.b.","dynamic.range.dB.","tonality","number.of.digital.errors","genre"
"1",8,110,-6,44.1,16,32,9,7,4
"2",25,130,-7,44.1,16,35,11,6,4
"3",46,95,-6,44.1,24,33,9,6,4
"4",67,110,-5,44.1,24,30,8,7,4
"5",68,115,-5,44.1,24,31,7,7,4
"6",71,130,-6,44.1,16,32,9,6,4
"7",77,150,-5,44.1,16,31,9,7,4
"8",97,140,-6,44.1,16,33,7,6,4
"9",96,140,-6,44.1,16,33,8,5,4
"10",38,125,-6,44.1,24,34,9,6,4
"11",41,135,-7,44.1,16,35,7,5,4
"12",11,120,-8,44.1,16,37,5,4,4
"13",53,105,-7,44.1,24,36,2,5,4
"14",55,130,-8,44.1,24,38,4,4,4
"15",61,120,-6,44.1,24,35,6,5,4
"16",62,110,-7,44.1,24,34,6,6,4
"17",65,135,-6,44.1,16,36,3,3,4
"18",66,150,-7,44.1,16,37,4,2,4
"19",72,130,-7,44.1,16,38,9,3,4
"20",76,115,-7,44.1,24,37,5,4,4
"21",78,115,-8,44.1,16,38,7,5,4
"22",79,110,-8,44.1,24,38,0,2,4
"23",89,95,-7,44.1,24,37,3,3,4
"24",92,100,-9,44.1,16,36,4,4,4
"25",93,105,-8,44.1,16,38,9,4,4
"26",98,0,-14,48,24,65,4,0,1
"27",7,95,-15,48,24,67,0,0,1
"28",47,70,-14,48,16,63,2,0,1
"29",6,0,-12,48,24,60,4,0,1
"30",95,50,-13,48,24,62,7,0,1
"31",35,80,-11,48,16,67,2,0,1
"32",51,75,-13,48,16,62,9,0,1
"33",24,73,-14,48,24,68,4,0,1
"34",52,77,-14,48,16,64,2,0,1
"35",42,64,-14,48,24,67,2,0,1
"36",12,80,-13,48,24,65,2,0,1
"37",37,0,-12,48,24,67,10,0,1
"38",75,0,-13,48,16,68,11,0,1
"39",32,0,-12,48,24,67,0,0,1
"40",44,0,-12,48,24,65,2,0,1
"41",60,80,-11,48,16,70,0,0,1
"42",50,0,-14,48,16,64,9,0,1
"43",43,100,-13,48,16,62,11,0,1
"44",34,0,-14,48,24,68,5,0,1
"45",36,70,-14,48,16,64,2,0,1
"46",33,80,-14,48,24,63,11,0,1
"47",73,85,-13,48,24,61,7,0,1
"48",74,77,-13,48,16,68,10,0,1
"49",69,80,-14,48,16,63,3,0,1
"50",31,85,-13,48,24,62,5,0,1
"51",58,70,-12,44.1,24,42,11,0,3
"52",83,43,-14,44.1,16,43,3,0,3
"53",26,90,-13,44.1,24,44,0,0,3
"54",84,55,-13,44.1,24,42,4,0,3
"55",70,50,-11,44.1,16,44,5,0,3
"56",56,57,-10,44.1,16,44,2,0,3
"57",27,60,-11,44.1,24,46,0,0,3
"58",81,70,-11,44.1,16,41,7,0,3
"59",17,73,-13,44.1,24,43,5,0,3
"60",9,90,-12,44.1,24,42,8,0,3
"61",14,83,-13,44.1,24,42,3,0,3
"62",10,74,-13,44.1,16,43,5,0,3
"63",19,80,-14,44.1,24,47,10,0,3
"64",29,78,-12,44.1,16,45,4,0,3
"65",80,60,-12,44.1,16,41,7,0,3
"66",23,0,-11,44.1,24,48,3,0,3
"67",21,75,-13,44.1,24,42,1,0,3
"68",30,0,-14,44.1,24,46,6,0,3
"69",39,0,-13,44.1,24,44,4,0,3
"70",40,73,-13,44.1,16,44,4,0,3
"71",13,0,-12,44.1,16,43,3,0,3
"72",59,70,-13,44.1,16,41,6,0,3
"73",15,0,-10,44.1,24,40,9,0,3
"74",18,74,-11,44.1,16,46,0,0,3
"75",85,85,-12,44.1,24,42,3,0,3
"76",2,100,-7,44.1,24,37,5,3,2
"77",3,120,-8,44.1,16,35,8,4,2
"78",54,110,-6,44.1,24,38,6,4,2
"79",82,125,-9,44.1,16,38,2,6,2
"80",86,110,-10,44.1,16,39,2,3,2
"81",90,105,-11,44.1,16,35,2,5,2
"82",99,115,-7,44.1,24,37,4,4,2
"83",48,120,-8,44.1,24,32,7,5,2
"84",22,116,-8,44.1,16,33,3,3,2
"85",94,125,-7,44.1,16,34,7,5,2
"86",20,125,-8,44.1,24,34,5,5,2
"87",4,127,-8,44.1,16,36,3,6,2
"88",49,120,-7,44.1,24,38,8,5,2
"89",28,110,-9,44.1,24,36,10,3,2
"90",87,125,-10,44.1,24,34,0,4,2
"91",16,110,-7,44.1,16,33,0,5,2
"92",1,115,-8,44.1,24,32,2,4,2
"93",5,118,-7,44.1,16,37,6,5,2
"94",88,130,-7,44.1,16,35,5,6,2
"95",91,120,-10,44.1,24,35,5,5,2
"96",1,123,-8,44.1,24,36,7,4,2
"97",57,110,-9,44.1,24,31,9,3,2
"98",64,115,-8,44.1,24,39,4,4,2
"99",63,127,-8,44.1,16,35,9,3,2
"100",45,125,-7,44.1,16,35,3,3,2
