author.and.song.duration,tempo.bpm.,rms.dB.,sampling.frequency.kHz.,sampling.rate.b.,dynamic.range.dB.,tonality,number.of.digital.errors,genre
0.071428571,0.733333333,0.9,0,0,0.05,0.818181818,1,4
0.244897959,0.866666667,0.8,0,0,0.125,1,0.857142857,4
0.459183673,0.633333333,0.9,0,1,0.075,0.818181818,0.857142857,4
0.673469388,0.733333333,1,0,1,0,0.727272727,1,4
0.683673469,0.766666667,1,0,1,0.025,0.636363636,1,4
0.714285714,0.866666667,0.9,0,0,0.05,0.818181818,0.857142857,4
0.775510204,1,1,0,0,0.025,0.818181818,1,4
0.979591837,0.933333333,0.9,0,0,0.075,0.636363636,0.857142857,4
0.969387755,0.933333333,0.9,0,0,0.075,0.727272727,0.714285714,4
0.37755102,0.833333333,0.9,0,1,0.1,0.818181818,0.857142857,4
0.408163265,0.9,0.8,0,0,0.125,0.636363636,0.714285714,4
0.102040816,0.8,0.7,0,0,0.175,0.454545455,0.571428571,4
0.530612245,0.7,0.8,0,1,0.15,0.181818182,0.714285714,4
0.551020408,0.866666667,0.7,0,1,0.2,0.363636364,0.571428571,4
0.612244898,0.8,0.9,0,1,0.125,0.545454545,0.714285714,4
0.62244898,0.733333333,0.8,0,1,0.1,0.545454545,0.857142857,4
0.653061224,0.9,0.9,0,0,0.15,0.272727273,0.428571429,4
0.663265306,1,0.8,0,0,0.175,0.363636364,0.285714286,4
0.724489796,0.866666667,0.8,0,0,0.2,0.818181818,0.428571429,4
0.765306122,0.766666667,0.8,0,1,0.175,0.454545455,0.571428571,4
0.785714286,0.766666667,0.7,0,0,0.2,0.636363636,0.714285714,4
0.795918367,0.733333333,0.7,0,1,0.2,0,0.285714286,4
0.897959184,0.633333333,0.8,0,1,0.175,0.272727273,0.428571429,4
0.928571429,0.666666667,0.6,0,0,0.15,0.363636364,0.571428571,4
0.93877551,0.7,0.7,0,0,0.2,0.818181818,0.571428571,4
0.989795918,0,0.1,1,1,0.875,0.363636364,0,1
0.06122449,0.633333333,0,1,1,0.925,0,0,1
0.469387755,0.466666667,0.1,1,0,0.825,0.181818182,0,1
0.051020408,0,0.3,1,1,0.75,0.363636364,0,1
0.959183673,0.333333333,0.2,1,1,0.8,0.636363636,0,1
0.346938776,0.533333333,0.4,1,0,0.925,0.181818182,0,1
0.510204082,0.5,0.2,1,0,0.8,0.818181818,0,1
0.234693878,0.486666667,0.1,1,1,0.95,0.363636364,0,1
0.520408163,0.513333333,0.1,1,0,0.85,0.181818182,0,1
0.418367347,0.426666667,0.1,1,1,0.925,0.181818182,0,1
0.112244898,0.533333333,0.2,1,1,0.875,0.181818182,0,1
0.367346939,0,0.3,1,1,0.925,0.909090909,0,1
0.755102041,0,0.2,1,0,0.95,1,0,1
0.316326531,0,0.3,1,1,0.925,0,0,1
0.43877551,0,0.3,1,1,0.875,0.181818182,0,1
0.602040816,0.533333333,0.4,1,0,1,0,0,1
0.5,0,0.1,1,0,0.85,0.818181818,0,1
0.428571429,0.666666667,0.2,1,0,0.8,1,0,1
0.336734694,0,0.1,1,1,0.95,0.454545455,0,1
0.357142857,0.466666667,0.1,1,0,0.85,0.181818182,0,1
0.326530612,0.533333333,0.1,1,1,0.825,1,0,1
0.734693878,0.566666667,0.2,1,1,0.775,0.636363636,0,1
0.744897959,0.513333333,0.2,1,0,0.95,0.909090909,0,1
0.693877551,0.533333333,0.1,1,0,0.825,0.272727273,0,1
0.306122449,0.566666667,0.2,1,1,0.8,0.454545455,0,1
0.581632653,0.466666667,0.3,0,1,0.3,1,0,3
0.836734694,0.286666667,0.1,0,0,0.325,0.272727273,0,3
0.255102041,0.6,0.2,0,1,0.35,0,0,3
0.846938776,0.366666667,0.2,0,1,0.3,0.363636364,0,3
0.704081633,0.333333333,0.4,0,0,0.35,0.454545455,0,3
0.56122449,0.38,0.5,0,0,0.35,0.181818182,0,3
0.265306122,0.4,0.4,0,1,0.4,0,0,3
0.816326531,0.466666667,0.4,0,0,0.275,0.636363636,0,3
0.163265306,0.486666667,0.2,0,1,0.325,0.454545455,0,3
0.081632653,0.6,0.3,0,1,0.3,0.727272727,0,3
0.132653061,0.553333333,0.2,0,1,0.3,0.272727273,0,3
0.091836735,0.493333333,0.2,0,0,0.325,0.454545455,0,3
0.183673469,0.533333333,0.1,0,1,0.425,0.909090909,0,3
0.285714286,0.52,0.3,0,0,0.375,0.363636364,0,3
0.806122449,0.4,0.3,0,0,0.275,0.636363636,0,3
0.224489796,0,0.4,0,1,0.45,0.272727273,0,3
0.204081633,0.5,0.2,0,1,0.3,0.090909091,0,3
0.295918367,0,0.1,0,1,0.4,0.545454545,0,3
0.387755102,0,0.2,0,1,0.35,0.363636364,0,3
0.397959184,0.486666667,0.2,0,0,0.35,0.363636364,0,3
0.12244898,0,0.3,0,0,0.325,0.272727273,0,3
